2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
sh.600662,sh.600718,sh.600779,sh.600741,sh.600811,sh.600997,sh.601117,sh.601158,sh.601333,sh.601555,sh.601607,sh.601611,sh.601618,sh.601601,sh.601800,sh.601899,sh.603019
sh.600663,sh.600739,sh.600780,sh.600748,sh.600812,sh.600998,sh.601118,sh.601166,sh.601336,sh.601600,sh.601608,sh.601618,sh.601628,sh.601607,sh.601808,sh.601901,sh.603087
sh.600674,sh.600741,sh.600787,sh.600770,sh.600820,sh.600999,sh.601158,sh.601168,sh.601377,sh.601601,sh.601611,sh.601628,sh.601633,sh.601618,sh.601816,sh.601916,sh.603160
sh.600675,sh.600747,sh.600795,sh.600779,sh.600832,sh.601001,sh.601166,sh.601169,sh.601390,sh.601607,sh.601618,sh.601633,sh.601668,sh.601628,sh.601818,sh.601919,sh.603185
sh.600688,sh.600748,sh.600797,sh.600782,sh.600835,sh.601006,sh.601168,sh.601186,sh.601398,sh.601608,sh.601628,sh.601668,sh.601669,sh.601633,sh.601838,sh.601933,sh.603195
sh.600690,sh.600754,sh.600804,sh.600795,sh.600837,sh.601009,sh.601169,sh.601231,sh.601555,sh.601618,sh.601633,sh.601669,sh.601688,sh.601668,sh.601857,sh.601939,sh.603259
sh.600694,sh.600761,sh.600808,sh.600804,sh.600839,sh.601018,sh.601179,sh.601238,sh.601600,sh.601628,sh.601668,sh.601688,sh.601727,sh.601669,sh.601872,sh.601985,sh.603260
sh.600717,sh.600770,sh.600809,sh.600808,sh.600863,sh.601088,sh.601186,sh.601258,sh.601601,sh.601633,sh.601669,sh.601718,sh.601766,sh.601688,sh.601877,sh.601988,sh.603288
sh.600718,sh.600779,sh.600811,sh.600809,sh.600875,sh.601098,sh.601216,sh.601288,sh.601607,sh.601668,sh.601688,sh.601727,sh.601788,sh.601698,sh.601878,sh.601989,sh.603290
sh.600724,sh.600780,sh.600812,sh.600811,sh.600879,sh.601101,sh.601233,sh.601299,sh.601618,sh.601669,sh.601718,sh.601766,sh.601800,sh.601727,sh.601881,sh.601990,sh.603369
sh.600739,sh.600786,sh.600820,sh.600812,sh.600881,sh.601106,sh.601258,sh.601318,sh.601628,sh.601688,sh.601727,sh.601788,sh.601808,sh.601766,sh.601888,sh.601995,sh.603392
sh.600740,sh.600787,sh.600832,sh.600816,sh.600886,sh.601107,sh.601268,sh.601328,sh.601633,sh.601699,sh.601766,sh.601800,sh.601818,sh.601788,sh.601899,sh.601998,sh.603486
sh.600741,sh.600795,sh.600835,sh.600820,sh.600895,sh.601111,sh.601288,sh.601333,sh.601668,sh.601718,sh.601788,sh.601818,sh.601828,sh.601800,sh.601901,sh.603019,sh.603501
sh.600747,sh.600797,sh.600837,sh.600832,sh.600900,sh.601117,sh.601299,sh.601336,sh.601669,sh.601727,sh.601800,sh.601857,sh.601838,sh.601808,sh.601916,sh.603087,sh.603659
sh.600754,sh.600808,sh.600839,sh.600835,sh.600970,sh.601118,sh.601318,sh.601369,sh.601688,sh.601766,sh.601818,sh.601866,sh.601857,sh.601818,sh.601919,sh.603160,sh.603799
sh.600770,sh.600809,sh.600851,sh.600837,sh.600997,sh.601158,sh.601328,sh.601377,sh.601699,sh.601788,sh.601857,sh.601872,sh.601877,sh.601828,sh.601933,sh.603195,sh.603806
sh.600779,sh.600811,sh.600859,sh.600839,sh.600999,sh.601166,sh.601333,sh.601390,sh.601727,sh.601800,sh.601866,sh.601877,sh.601878,sh.601838,sh.601939,sh.603233,sh.603833
sh.600780,sh.600812,sh.600863,sh.600859,sh.601001,sh.601168,sh.601336,sh.601398,sh.601766,sh.601808,sh.601872,sh.601878,sh.601881,sh.601857,sh.601985,sh.603259,sh.603882
sh.600786,sh.600820,sh.600874,sh.600874,sh.601003,sh.601169,sh.601369,sh.601555,sh.601800,sh.601818,sh.601877,sh.601881,sh.601888,sh.601877,sh.601988,sh.603288,sh.603899
sh.600795,sh.600832,sh.600875,sh.600875,sh.601006,sh.601179,sh.601377,sh.601600,sh.601808,sh.601857,sh.601888,sh.601888,sh.601898,sh.601878,sh.601989,sh.603338,sh.603986
sh.600797,sh.600835,sh.600879,sh.600879,sh.601009,sh.601186,sh.601390,sh.601601,sh.601818,sh.601866,sh.601899,sh.601898,sh.601899,sh.601881,sh.601990,sh.603369,sh.603993
sh.600808,sh.600837,sh.600881,sh.600881,sh.601088,sh.601268,sh.601398,sh.601607,sh.601857,sh.601872,sh.601901,sh.601899,sh.601901,sh.601888,sh.601998,sh.603392,sh.605499
