,add,intersection
2020-12-16,-0.00014583354448639732,-0.0012684676417316642
2020-12-17,0.004369038063938413,-0.00035496767125117116
2020-12-18,-0.0029646389505941536,-2.068477287249533e-05
2020-12-21,-0.00021557077357515898,-7.97084149083072e-05
2020-12-22,-0.0003253235415241052,-0.0002792802593332418
2020-12-23,1.2013617758523238e-05,0.0017190491972585071
2020-12-24,0.0023425852671873975,-0.00024936493589878975
2020-12-25,0.0051383248821242076,0.003103675080384823
2020-12-28,-0.0001647640028506832,-0.0003309444679096117
2020-12-29,-0.000444130845637356,-6.738394453071075e-05
2020-12-30,-0.0002977804501202444,-2.0870797281398157e-05
2020-12-31,0.0025729451174037955,0.0007438160970729865
2021-01-04,0.001085883372600615,-0.004627265162657584
2021-01-05,-2.807966653417083e-05,0.01573127725398992
2021-01-06,0.0008829243027494907,0.004244798828483095
2021-01-07,5.152143222833152e-05,0.0005032751214341437
2021-01-08,-4.3438594341336014e-07,1.4617693318478853e-05
2021-01-11,-0.0002504228149241115,-1.3682977355594756e-05
2021-01-12,0.00024085048758058436,-7.693408250814358e-07
2021-01-13,3.333723785141133e-05,-5.762183173356607e-05
2021-01-14,-0.0033147179709705956,-1.7835847169318872e-05
2021-01-15,0.0005950273375197083,0.0
2021-01-18,-7.114021577342209e-06,-2.1210942702606632e-05
2021-01-19,0.00036259368169953724,2.7578821095720962e-05
2021-01-20,0.0005673654133985051,-6.688437782970667e-05
2021-01-21,-0.0001930262432240477,0.0007764387194109758
2021-01-22,0.0001715456608744818,-4.9434734510136796e-05
2021-01-25,-0.0001939154513215072,-0.0014694901948204026
2021-01-26,0.0007603893891718573,-0.00019067517748522754
2021-01-27,-0.0014744362619728416,-0.00021242618201431978
2021-01-28,-0.00043386633220860094,-0.00013562928072305994
2021-01-29,-0.001979108829142505,-0.0006116705209330807
2021-02-01,-9.675126966526257e-05,-0.0014119038127007244
2021-02-02,0.0003337303534843023,-0.0072116850868131415
2021-02-03,-0.0015674777230193435,-0.0001272095228958359
2021-02-04,1.0228634627162835e-05,-0.005312837458593615
2021-02-05,-5.710242159188379e-06,-0.0018489917606363778
2021-02-08,0.00031126293002924765,-0.0003279449358110192
2021-02-09,-2.8866764271271684e-06,-3.74202554797084e-06
2021-02-10,-4.791732835894985e-06,5.70272240410439e-05
2021-02-18,0.000877343213961072,-5.609742617990988e-06
2021-02-19,0.00036864208639245534,-2.6202481871615405e-05
2021-02-22,0.0,0.0
2021-02-23,0.005857428246221554,-0.001001261819972703
2021-02-24,-9.191696104321927e-05,2.7421906125232855e-05
2021-02-25,-2.773565199859488e-05,0.0
2021-02-26,-0.0002500768818610816,-0.0004511129257191196
2021-03-01,0.00948082192282558,0.003943590705455704
2021-03-02,0.015399707727031503,-0.00012702669764610167
2021-03-03,0.010928114406701625,0.006046551113402391
2021-03-04,0.023136076120352636,0.005437158220112769
2021-03-05,0.043048952977892935,0.06427090711061718
2021-03-08,0.00021041771497961264,0.00913819870854172
2021-03-09,0.01147160378590428,0.04624901660393258
2021-03-10,0.006277555478407404,-5.747629188150211e-05
2021-03-11,3.423288406265393e-05,0.0112090590592876
2021-03-12,0.026983661654979896,0.00666789800808309
2021-03-15,0.0031209305108135846,0.0003284458839587199
2021-03-16,0.0004139036351807208,0.02343538312088843
2021-03-17,0.016894968654542014,0.0010208974074163498
2021-03-18,3.640103738065396e-06,0.0001731046743820118
2021-03-19,-0.0005424707662460253,-5.721570225025432e-05
2021-03-22,-5.227818835879874e-05,0.0
2021-03-23,0.0014635851085704557,0.0021739618577218535
2021-03-24,-0.0004164558912629732,-0.0002559894502415313
2021-03-25,0.002165144094912232,-0.00102786597683452
2021-03-26,0.0011676749991445306,0.02115761025838775
2021-03-29,9.31906367755979e-06,0.0017669374376742804
2021-03-30,0.004351296820660825,0.0005502377438088669
