,10_20,10_30,10_60,5_20,5_30,5_60
2017-01-06,0.0005050257610216663,-0.0006834053656098492,-0.0004336151994627629,5.758342714758301e-05,-0.0001278523190280318,0.0
2017-01-09,0.00014175365830405766,-3.176931612997434e-07,0.0006058651020743532,0.00042386195512044984,-0.00021908499058406842,2.7769030024413966e-05
2017-01-10,0.0,7.775856382379582e-05,0.0,-0.00020413493076142705,2.4494116588706532e-06,-6.068477755786563e-05
2017-01-11,0.0,0.00020154258415564302,0.0003943677353554309,9.026957617750004e-08,0.0,0.0
2017-01-12,-3.0584081310765626e-05,-0.0002054222990814016,-0.0001060048363715206,-9.420001732905563e-05,-4.015771500865929e-06,3.18831719233182e-05
2017-01-13,4.6309228245937985e-05,-4.481629135857657e-05,-1.6031605720378622e-05,-0.0002627514775436879,-4.1295029001745114e-05,-2.0747200522124428e-07
2017-01-16,0.00017655481654414875,0.0,0.0,-0.000747120603353519,-0.00018944673484558923,-0.0006523192064547386
2017-01-17,-0.00039138019129563725,-2.9947915969111635e-05,1.765984585347525e-05,-0.0022827764934059717,-0.0009032681502125,-6.661644893999732e-05
2017-01-18,4.8280002022222754e-05,0.0,-8.288227716387701e-05,0.000915843806835804,0.00031914832397300457,-0.00026702585252542027
2017-01-19,-8.805681194008161e-05,0.00010825192865708873,1.7640722296157676e-05,-0.00035122068899701424,-0.0002681451199126186,0.002194866616618759
2017-01-20,-0.0008961507838447311,8.139507567559179e-05,-0.0003019577229301371,-7.968953698317632e-05,-7.251321763700604e-06,0.004593754226621361
2017-01-23,-3.434334169649833e-06,-0.00024223125357647246,0.00010636385587153383,3.112443321938511e-05,6.061218705326516e-05,-2.2305389122917764e-06
2017-01-24,3.3482901907071815e-05,-0.0010993906246926346,0.0014317777123920628,9.857451522298215e-05,-9.593118579364498e-05,0.0005621386377906856
2017-01-25,0.001832682315692092,2.055206662988463e-06,0.0050203726188437865,-1.5515555915995223e-05,-3.339644435805685e-06,0.0003600290691689862
2017-01-26,2.2561161965395356e-05,2.0354337111615106e-06,0.0026810108286726185,0.0,-1.282179057428103e-05,0.0
2017-02-03,2.507747017488254e-05,-2.023446678766577e-06,-0.00024986184648170915,0.00029442260692337605,0.0,3.4896864321969785e-06
2017-02-06,-3.710818428404495e-05,0.00019746836457208936,2.662171874551326e-06,-0.000198215165760622,-5.037502967170888e-05,0.0
2017-02-07,6.8558667357178e-06,-0.0005641057437782662,0.00014645516712329267,-6.691884822314633e-05,7.3982664636740925e-06,5.831085331542883e-05
2017-02-08,-9.041462282790418e-05,2.6972044845804454e-05,0.0,4.4942759565801014e-06,0.0,-0.00029489500707138047
2017-02-09,-1.360614879094127e-05,0.0,0.0002554749710071278,0.0011410028503625474,0.0,0.0
2017-02-10,0.00028289025144108865,0.0,0.0,0.001010584783820973,4.123249676266103e-05,0.00015085588392934812
2017-02-13,-2.628398015410094e-05,-1.441030176129373e-05,1.1939419385607262e-05,-0.00015629349172052286,0.0,2.833750930610372e-06
2017-02-14,0.0,-1.649221080462251e-05,0.00012865617414122745,0.0008556457013883928,0.00010419772588115203,-2.522499704830828e-05
2017-02-15,0.0011292237388548921,0.0,0.0,0.0009136877435965156,1.981292623231809e-05,-0.0007603164372663581
2017-02-16,0.0,0.0,0.0,-7.37804337120968e-06,-9.039129479816267e-05,0.0
2017-02-17,9.92986330218501e-05,3.423031886031607e-05,0.0,0.0,-0.0003888198553129386,-0.00010009530676938092
2017-02-20,0.00010004235310765483,0.0,0.0,-0.0001043645624267263,-7.296949978109681e-05,0.0
2017-02-21,0.0029586840362259043,-6.324385876494105e-05,-0.0008443687985467439,0.0011435890275275603,0.001270655766167475,2.692503464292891e-06
2017-02-22,0.0008324322698307634,-2.497624486352477e-05,0.0,-6.517936148307608e-05,0.0008145608235939274,-4.2066234620631225e-05
2017-02-23,-0.00019175098842405154,-0.0003630158396030775,0.0,0.0,-4.456737521176527e-05,-0.00012500776860140578
2017-02-24,6.094698821760779e-05,0.00034862328636827225,0.0,0.00029257923698675564,-3.0354499197881567e-05,-4.9595907208483373e-05
2017-02-27,-2.798439704804257e-06,-1.1061636456511933e-06,0.0,2.0843312172408583e-05,8.238657727570795e-06,0.0
2017-02-28,-0.00022645828910285398,0.0014516725531469976,0.0,5.983910954371948e-08,0.0,0.0
2017-03-01,0.00015322147543182836,1.4322214969373178e-05,0.0,5.964696092947422e-06,9.872668313903181e-05,0.0
2017-03-02,0.0,-1.0925488367939304e-05,1.536380666345209e-05,-0.0006069912884965346,-0.0008967195348006922,-2.7159212368167636e-05
2017-03-03,-3.568546892245997e-05,-0.0003580405820996595,0.0,-0.002379431889114603,-6.476006443331019e-05,-0.00010587367246747303
2017-03-06,5.1584692527077635e-05,0.0,0.0,-0.00011348659543859446,-9.886799599287948e-05,-0.00017306208744445343
2017-03-07,-0.0005523788942278505,0.0,-7.695125928579869e-05,0.00095883543365766,-0.0003621286695897423,-0.0001324773238740415
2017-03-08,-0.00024627262861156185,6.392012001952997e-05,-0.0002698419934477353,3.3925553289902356e-05,4.274857226842181e-05,0.00012522490932553068
2017-03-09,-0.00031962770475175674,2.6302467237858572e-05,0.0,0.0016425501721867893,-6.099868708696343e-05,0.0009774974360670175
2017-03-10,-0.00021199805538926444,-0.00023995641724282047,-5.093333338963843e-05,0.0020993075263252016,-0.00055861283069884,-0.0003210788742171402
